District code,State name,District name,Population
1,JAMMU AND KASHMIR,Kupwara,870354
2,JAMMU AND KASHMIR,Badgam,753745
3,JAMMU AND KASHMIR,Leh(Ladakh),133487
4,JAMMU AND KASHMIR,Kargil,140802
5,JAMMU AND KASHMIR,Punch,476835
6,JAMMU AND KASHMIR,Rajouri,642415
7,JAMMU AND KASHMIR,Kathua,616435
8,JAMMU AND KASHMIR,Baramula,1008039
